Batch,Condition,Timestamp_us,Deformability,Area,RingRatio,Brightness_Q1,Brightness_Q2,Brightness_Q3,Brightness_Q4
1,0603_hek_control_1,1748944382467916,0.0313569,763,20.6882,170,178,186,210
1,0603_hek_control_1,1748944382470915,0.028824,754.5,21.0119,170,177,186,210
1,0603_hek_control_1,1748944382478122,0.0381386,879,21.0594,172,179,186,203
1,0603_hek_control_1,1748944382481762,0.036601,844,20.7364,170,178,187,212
1,0603_hek_control_1,1748944382491317,0.059158,951.5,20.3593,170,177,186,202
1,0603_hek_control_1,1748944382498174,0.0472412,725.5,20.4939,170,178,186,205
1,0603_hek_control_1,1748944382506518,0.0381703,747.5,21.095,172,179,186,202
1,0603_hek_control_1,1748944382509329,0.0745364,1184.5,23.622,171,178,186,204
1,0603_hek_control_1,1748944382512513,0.0610574,659,20.199,170,178,185,203
1,0603_hek_control_1,1748944382514716,0.0269057,847,20.9881,171,178,185,207
1,0603_hek_control_1,1748944382523324,0.026639,692.5,19.1833,170,178,185,202
1,0603_hek_control_1,1748944382524516,0.0404443,623.5,19.3649,170,179,188,208
1,0603_hek_control_1,1748944382531919,0.0532213,950,21.0357,171,178,186,206
1,0603_hek_control_1,1748944382536120,0.0434334,965.5,21.5639,170,178,186,199
1,0603_hek_control_1,1748944382536917,0.0360946,632.5,20.1618,171,178,185,201
1,0603_hek_control_1,1748944382552514,0.0562086,927.5,19.6596,170,175,181,201
1,0603_hek_control_1,1748944382555516,0.035912,744,21.0832,170,178,187,205
1,0603_hek_control_1,1748944382564118,0.0525674,816,21.2368,171,179,188,206
1,0603_hek_control_1,1748944382569314,0.0357249,712,19.7231,170,177,186,203
1,0603_hek_control_1,1748944382585516,0.0285891,671.5,19.2614,170,178,186,203
1,0603_hek_control_1,1748944382599119,0.0328109,891.5,21.436,170,178,186,205
1,0603_hek_control_1,1748944382600520,0.05005,746,20.567,170,178,186,209
1,0603_hek_control_1,1748944382609730,0.0393969,808,20.8567,170,179,188,207
1,0603_hek_control_1,1748944382610323,0.0303884,751,20.6882,170,178,186,203
1,0603_hek_control_1,1748944382613519,0.0394442,970.5,23.0543,170,178,188,210
1,0603_hek_control_1,1748944382626717,0.0281347,773.5,20.0499,170,178,186,210
1,0603_hek_control_1,1748944382629750,0.0659093,900.5,21.6564,170,179,187,207
1,0603_hek_control_1,1748944382636317,0.0734768,946,21.0357,170,179,188,213
1,0603_hek_control_1,1748944382644514,0.0440234,811.5,20.9284,172,179,188,209
1,0603_hek_control_1,1748944382645997,0.0424728,780.5,21.0832,170,178,186,206
1,0603_hek_control_1,1748944382647403,0.0591116,873.5,22,170,178,186,210
1,0603_hek_control_1,1748944382648725,0.0645519,893.5,21.4243,171,178,188,211
1,0603_hek_control_1,1748944382651311,0.0414762,596,18.262,170,178,186,207
1,0603_hek_control_1,1748944382662940,0.066553,885.5,20.347,170,177,185,212
1,0603_hek_control_1,1748944382664513,0.0500754,684.5,18.9209,170,177,186,205
1,0603_hek_control_1,1748944382665928,0.0622574,813,21,171,179,187,207
1,0603_hek_control_1,1748944382672712,0.0160737,585.5,17.5926,170,176,185,203
1,0603_hek_control_1,1748944382674316,0.0430073,754.5,19.3261,170,178,186,202
1,0603_hek_control_1,1748944382675312,0.0265671,678.5,20.0624,170,178,186,198
1,0603_hek_control_1,1748944382681719,0.0518435,845,21.4942,170,179,188,204
1,0603_hek_control_1,1748944382683312,0.046656,819,20.445,170,178,186,204
1,0603_hek_control_1,1748944382684716,0.0489156,831.5,21.5754,171,179,189,210
1,0603_hek_control_1,1748944382694843,0.0300607,835.5,21.2132,171,178,186,210
1,0603_hek_control_1,1748944382702118,0.0305844,979,23.0543,172,180,187,205
1,0603_hek_control_1,1748944382703128,0.0385869,758,21.1896,170,177,185,198
1,0603_hek_control_1,1748944382703712,0.021662,807,18.9737,171,177,181,193
1,0603_hek_control_1,1748944382705311,0.0318044,664,19.0132,171,178,185,202
1,0603_hek_control_1,1748944382713323,0.0437115,947,22.0907,171,179,188,211
1,0603_hek_control_1,1748944382714716,0.0447225,832.5,21.2368,172,180,189,210
1,0603_hek_control_1,1748944382716020,0.00957126,781.5,20.9165,172,178,186,215
1,0603_hek_control_1,1748944382720312,0.0538769,655.5,20.1866,170,178,186,207
1,0603_hek_control_1,1748944382726922,0.0500639,1008.5,22.8473,170,178,186,210
1,0603_hek_control_1,1748944382745214,0.0253898,670.5,21.1896,171,178,186,203
1,0603_hek_control_1,1748944382749321,0.036418,315,15.0499,169,174,180,201
1,0603_hek_control_1,1748944382761373,0.033283,725.5,20.445,171,179,187,206
1,0603_hek_control_1,1748944382766912,0.0364862,576.5,19.1442,170,178,185,202
1,0603_hek_control_1,1748944382772924,0.0297736,689.5,21.3542,171,180,186,204
1,0603_hek_control_1,1748944382781522,0.0362972,788.5,21.2368,171,180,186,204
1,0603_hek_control_1,1748944382784315,0.0301705,620.5,18.8414,170,178,186,203
1,0603_hek_control_1,1748944382791320,0.0189988,689.5,20.5913,171,178,187,203
1,0603_hek_control_1,1748944382800519,0.0419807,868,21.225,171,179,188,211
1,0603_hek_control_1,1748944382814351,0.033742,699.5,21.3776,172,178,186,203
1,0603_hek_control_1,1748944382822116,0.0602193,875.5,21.225,170,178,186,203
1,0603_hek_control_1,1748944382838520,0.0626047,817.5,20.3224,170,178,186,207
1,0603_hek_control_1,1748944382841515,0.0353126,752,19.3261,169,176,185,205
1,0603_hek_control_1,1748944382844320,0.0573198,755,20.8327,170,178,189,207
1,0603_hek_control_1,1748944382850716,0.0394342,891,20.8207,171,178,186,205
1,0603_hek_control_1,1748944382866719,0.0344554,680.5,19.4165,170,178,186,213
1,0603_hek_control_1,1748944382867116,0.0334987,892.5,20.2608,170,178,184,205
1,0603_hek_control_1,1748944382868713,0.0508569,795.5,18.1384,170,177,183,197
1,0603_hek_control_1,1748944382885917,0.0391851,970,22.8583,171,179,188,210
1,0603_hek_control_1,1748944382886712,0.0328089,950,20.3715,170,178,187,206
1,0603_hek_control_1,1748944382887123,0.0607955,811,19.6596,170,178,187,207
1,0603_hek_control_1,1748944382889916,0.0361168,999,22.3495,171,179,188,209
1,0603_hek_control_1,1748944382891334,0.0518966,1038,23.8328,172,180,190,211
1,0603_hek_control_1,1748944382898724,0.0189758,848,21.783,172,180,189,212
1,0603_hek_control_1,1748944382901917,0.0342625,658,17.72,170,177,185,205
1,0603_hek_control_1,1748944382904114,0.0585272,692,20.5061,170,179,188,209
1,0603_hek_control_1,1748944382907723,0.0523129,891.5,19.7611,170,177,185,213
1,0603_hek_control_1,1748944382913118,0.0553376,936,22.0794,171,178,188,201
1,0603_hek_control_1,1748944382915118,0.0250146,1370,23.8747,170,177,185,214
1,0603_hek_control_1,1748944382917513,0.0361935,759.5,20.7123,170,178,186,205
1,0603_hek_control_1,1748944382925118,0.0699783,862.5,20.7364,170,178,187,204
1,0603_hek_control_1,1748944382936192,0.0584121,920.5,20.9404,170,178,188,206
1,0603_hek_control_1,1748944382939118,0.0278605,708,20.0624,170,179,187,203
1,0603_hek_control_1,1748944382944945,0.0345974,796.5,21.587,171,178,186,209
1,0603_hek_control_1,1748944382949718,0.0309262,732,20.0624,170,179,188,205
1,0603_hek_control_1,1748944382955122,0.0320158,763.5,22.2935,171,179,187,204
1,0603_hek_control_1,1748944382958716,0.0404518,665.5,19.975,170,178,186,202
1,0603_hek_control_1,1748944382959915,0.0271911,920.5,19.3261,169,174,182,206
1,0603_hek_control_1,1748944382960916,0.0354744,872,21.9431,170,178,187,205
1,0603_hek_control_1,1748944382962717,0.0550204,896,19.975,170,178,186,204
1,0603_hek_control_1,1748944382968713,0.0327628,745,19.3132,170,178,185,205
1,0603_hek_control_1,1748944382976919,0.048101,802.5,20.0998,170,178,186,202
1,0603_hek_control_1,1748944382979120,0.0450584,895,21.5639,171,179,187,202
1,0603_hek_control_1,1748944382979511,0.0398952,644,18.3576,170,177,185,209
1,0603_hek_control_1,1748944382984713,0.0258795,628.5,19.6469,170,178,186,205
1,0603_hek_control_1,1748944382991914,0.0636907,805,20.6519,171,178,187,207
1,0603_hek_control_1,1748944383000001,0.0265424,750.5,19.4294,171,178,187,211
1,0603_hek_control_1,1748944383000324,0.0204257,647,17.3925,169,174,181,196
1,0603_hek_control_1,1748944383002720,0.0230555,700.5,20.025,170,177,182,199
1,0603_hek_control_1,1748944383006518,0.0271873,755,19.6977,170,178,186,209
1,0603_hek_control_1,1748944383009936,0.0264771,621,18.6414,171,178,186,207
1,0603_hek_control_1,1748944383013922,0.051363,958,18.1659,170,177,183,201
1,0603_hek_control_1,1748944383017388,0.0374518,920.5,23.0109,170,179,187,209
1,0603_hek_control_1,1748944383018716,0.0226589,875.5,19.7358,170,177,182,209
1,0603_hek_control_1,1748944383020114,0.043327,853,21.587,171,178,188,209
1,0603_hek_control_1,1748944383020325,0.0550707,764,20.1122,170,178,187,210
1,0603_hek_control_1,1748944383025521,0.0719286,878,21.1896,171,178,186,212
1,0603_hek_control_1,1748944383025916,0.031016,761.5,21.2955,171,180,188,207
1,0603_hek_control_1,1748944383026197,0.0408547,827.5,17.6068,171,177,183,200
1,0603_hek_control_1,1748944383033537,0.0296956,730.5,20.0499,170,178,187,209
1,0603_hek_control_1,1748944383034925,0.0221923,527,18.2209,170,178,186,199
1,0603_hek_control_1,1748944383039115,0.0344019,679,21.5639,170,178,186,211
1,0603_hek_control_1,1748944383043317,0.0417142,724.5,19.9374,172,179,186,207
1,0603_hek_control_1,1748944383045323,0.0336926,944,22.1698,172,180,188,209
1,0603_hek_control_1,1748944383045916,0.0269309,707,21.3424,172,180,188,210
1,0603_hek_control_1,1748944383054513,0.0649765,646.5,20.2731,171,180,188,207
1,0603_hek_control_1,1748944383055316,0.0919739,400.5,15.0333,169,174,182,201
1,0603_hek_control_1,1748944383058521,0.0518871,925.5,21.8746,170,178,188,204
1,0603_hek_control_1,1748944383069721,0.0376668,686.5,19.685,170,178,187,207
1,0603_hek_control_1,1748944383072165,0.0577933,739,20.2237,170,178,186,198
1,0603_hek_control_1,1748944383077721,0.0250272,624,19.7737,170,177,184,198
1,0603_hek_control_1,1748944383089164,0.0340063,705,19.2354,171,178,186,207
1,0603_hek_control_1,1748944383092522,0.0359966,914,23.2916,172,179,186,211
1,0603_hek_control_1,1748944383093918,0.0433081,870.5,23.3345,172,180,189,206
1,0603_hek_control_1,1748944383098520,0.0412188,726.5,18.8812,170,178,186,207
1,0603_hek_control_1,1748944383099516,0.0498041,805.5,21.2368,171,178,186,203
1,0603_hek_control_1,1748944383102512,0.045163,714,18.262,170,177,184,201
1,0603_hek_control_1,1748944383102737,0.0541171,826,20.0998,170,178,186,210
1,0603_hek_control_1,1748944383106516,0.0307235,762,20.3593,170,178,186,202
1,0603_hek_control_1,1748944383111523,0.018847,758,20.2485,170,178,188,205
1,0603_hek_control_1,1748944383119518,0.0406403,882.5,21.806,170,178,187,218
1,0603_hek_control_1,1748944383128935,0.0495761,924,22.2374,171,179,188,205
1,0603_hek_control_1,1748944383129934,0.0670275,883,21.3892,170,178,187,206
1,0603_hek_control_1,1748944383131718,0.0338123,750.5,19.6342,170,178,186,204
1,0603_hek_control_1,1748944383135916,0.0610259,793.5,21.4942,171,180,188,210
1,0603_hek_control_1,1748944383138326,0.056176,893.5,21.7601,172,178,187,209
1,0603_hek_control_1,1748944383140717,0.0296632,776,21.2603,171,179,187,210
1,0603_hek_control_1,1748944383159121,0.0433923,930.5,22.5389,172,180,189,210
1,0603_hek_control_1,1748944383169143,0.0520557,675.5,19.6723,170,178,186,211
1,0603_hek_control_1,1748944383191918,0.0495933,749,21.0832,172,179,187,205
1,0603_hek_control_1,1748944383193538,0.0441161,909,21.8289,171,179,188,210
1,0603_hek_control_1,1748944383195716,0.0374741,654.5,19.1442,170,178,186,210
1,0603_hek_control_1,1748944383198715,0.0412386,934,22.4054,171,178,187,205
1,0603_hek_control_1,1748944383204117,0.0449074,750.5,21.2955,171,178,187,205
1,0603_hek_control_1,1748944383204525,0.0745363,1038,23.0543,171,179,189,207
1,0603_hek_control_1,1748944383210117,0.0393388,819,21.4942,172,180,187,204
1,0603_hek_control_1,1748944383211347,0.0487122,674.5,20.4939,170,178,187,205
1,0603_hek_control_1,1748944383212915,0.0252848,847.5,21.6679,170,178,186,202
1,0603_hek_control_1,1748944383213915,0.0411109,919.5,21.5986,172,178,186,201
1,0603_hek_control_1,1748944383220514,0.0277469,610.5,19.6596,170,178,185,201
1,0603_hek_control_1,1748944383222716,0.0611446,891,21.5639,170,179,188,209
1,0603_hek_control_1,1748944383225338,0.0499093,1152.5,23.7802,170,179,189,210
1,0603_hek_control_1,1748944383226713,0.0610782,736.5,21.7601,170,179,187,205
1,0603_hek_control_1,1748944383234919,0.0323647,834,21.7486,172,179,187,206
