Batch,Condition,Timestamp_us,Deformability,Area,RingRatio,Brightness_Q1,Brightness_Q2,Brightness_Q3,Brightness_Q4
1,0603_hek_10uM_1h_1940_1,1748951292109402,0.033438,625.5,18.9868,169,177,185,203
1,0603_hek_10uM_1h_1940_1,1748951292109609,0.141013,339.5,15.9531,167,173,180,210
1,0603_hek_10uM_1h_1940_1,1748951292109833,0.0384328,728,20.6155,168,176,186,210
1,0603_hek_10uM_1h_1940_1,1748951292113803,0.0731165,1015.5,21.9089,168,175,183,205
1,0603_hek_10uM_1h_1940_1,1748951292120869,0.0377193,447,17.0294,166,174,183,205
1,0603_hek_10uM_1h_1940_1,1748951292124415,0.0937549,1356.5,24.3619,168,173,184,207
1,0603_hek_10uM_1h_1940_1,1748951292128201,0.0266022,851,21.3542,168,176,183,202
1,0603_hek_10uM_1h_1940_1,1748951292129997,0.13719,536.5,19.2873,168,172,180,207
1,0603_hek_10uM_1h_1940_1,1748951292132445,0.0663444,771.5,21.2485,169,177,186,211
1,0603_hek_10uM_1h_1940_1,1748951292133003,0.0522864,739,21.3542,168,177,185,203
1,0603_hek_10uM_1h_1940_1,1748951292134793,0.103667,603.5,17.3349,166,172,178,195
1,0603_hek_10uM_1h_1940_1,1748951292138276,0.10926,958,22.1811,169,177,186,211
1,0603_hek_10uM_1h_1940_1,1748951292139615,0.059065,752.5,21.587,169,177,186,207
1,0603_hek_10uM_1h_1940_1,1748951292141573,0.124403,853,22,168,177,186,211
1,0603_hek_10uM_1h_1940_1,1748951292149400,0.0752133,662,19.9249,168,176,185,209
1,0603_hek_10uM_1h_1940_1,1748951292152603,0.049599,669.5,20.8686,169,176,183,207
1,0603_hek_10uM_1h_1940_1,1748951292160597,0.0919982,721.5,20.5183,169,177,185,207
1,0603_hek_10uM_1h_1940_1,1748951292170397,0.059522,752.5,20.7966,169,177,186,207
1,0603_hek_10uM_1h_1940_1,1748951292174603,0.081364,957,22.0341,168,174,186,207
1,0603_hek_10uM_1h_1940_1,1748951292174829,0.0450741,564.5,19.3778,168,176,184,210
